Date, Url, Method, Status_Code, Payload, URI, Response
Wed  12 May 2021 12:27:19 GMT, http://localhost:8080/me, get, 200, {}, http://localhost:8080/me, {"me":"O=PartyA  L=London  C=GB"}
Wed  12 May 2021 12:27:19 GMT, http://localhost:8080/peers, get, 200, {"linearId":6.9}, http://localhost:8080/peers?linearId=6.9, {"peers":["O=PartyC  L=New York  C=US" "O=PartyB  L=New York  C=US"]}
Wed  12 May 2021 12:27:19 GMT, http://localhost:8080/peers, get, 200, {"linearId":4}, http://localhost:8080/peers?linearId=4, {"peers":["O=PartyC  L=New York  C=US" "O=PartyB  L=New York  C=US"]}
Wed  12 May 2021 12:27:19 GMT, http://localhost:8080/peers, get, 200, {}, http://localhost:8080/peers, {"peers":["O=PartyC  L=New York  C=US" "O=PartyB  L=New York  C=US"]}
Wed  12 May 2021 12:27:19 GMT, http://localhost:8080/create-iou, post, 406, {"iouValue":"eJVZfxTRXsilZNRuisGGJhTtUpttckgLGVoYwLcZmhBjummwuToNuvFgBXVqjIlUFuSSWIsUvLOCYkMURcnkUGeDDLgjNQZhVQNDGWRSecIUALjNCmLTmYzfwjNUarjj" "partyName":"O=PartyA L=London C=GB"}, http://localhost:8080/create-iou?iouValue=eJVZfxTRXsilZNRuisGGJhTtUpttckgLGVoYwLcZmhBjummwuToNuvFgBXVqjIlUFuSSWIsUvLOCYkMURcnkUGeDDLgjNQZhVQNDGWRSecIUALjNCmLTmYzfwjNUarjj&partyName=O=PartyA L=London C=GB, ""
Wed  12 May 2021 12:27:19 GMT, http://localhost:8080/peers, get, 200, {"linearId":5}, http://localhost:8080/peers?linearId=5, {"peers":["O=PartyC  L=New York  C=US" "O=PartyB  L=New York  C=US"]}
Wed  12 May 2021 12:27:19 GMT, http://localhost:8080/peers, get, 200, {"linearId":"XJIZVZxmYzszptonVgkvVPtnocxgZrlRMXIBcPVlIsmdJvKAtIYrOVctRWAATjqPqNdeOrnUdDnvhQnJbbnyJSaJBkJmmdKHNChqOqXutbwsLwDgVaZbtgwIxOBGLIyhTorFKnVpAYveiTVOivNMSNzTXrtUxfqnGEbbTddbWyln"}, http://localhost:8080/peers?linearId=XJIZVZxmYzszptonVgkvVPtnocxgZrlRMXIBcPVlIsmdJvKAtIYrOVctRWAATjqPqNdeOrnUdDnvhQnJbbnyJSaJBkJmmdKHNChqOqXutbwsLwDgVaZbtgwIxOBGLIyhTorFKnVpAYveiTVOivNMSNzTXrtUxfqnGEbbTddbWyln, {"peers":["O=PartyC  L=New York  C=US" "O=PartyB  L=New York  C=US"]}
Wed  12 May 2021 12:27:19 GMT, http://localhost:8080/peers, get, 200, {"linearId":"qSUHpTLFRgHUuxyzncluSWBufDVKybroKWTQnCnlCVibtzhiBqmPQzzEfkrGwlvBaVUQLKyMPKUDfRIxZBtYma"}, http://localhost:8080/peers?linearId=qSUHpTLFRgHUuxyzncluSWBufDVKybroKWTQnCnlCVibtzhiBqmPQzzEfkrGwlvBaVUQLKyMPKUDfRIxZBtYma, {"peers":["O=PartyC  L=New York  C=US" "O=PartyB  L=New York  C=US"]}
Wed  12 May 2021 12:27:19 GMT, http://localhost:8080/peers, get, 200, {"linearId":"EMDgaYOjbKOvWKXZhgQdZBrFMAZddILKAkHFoKjnIoxmWbhCSjqdluJPjoSeCDgRzJKOiocvxELEeaLgzKFHTVApekQbKFXVjZKvSIuMdQRvCRDdWdWNRxZiaQaNYdSGltVFFZjjVzDsIHsSbAPznNBu"}, http://localhost:8080/peers?linearId=EMDgaYOjbKOvWKXZhgQdZBrFMAZddILKAkHFoKjnIoxmWbhCSjqdluJPjoSeCDgRzJKOiocvxELEeaLgzKFHTVApekQbKFXVjZKvSIuMdQRvCRDdWdWNRxZiaQaNYdSGltVFFZjjVzDsIHsSbAPznNBu, {"peers":["O=PartyC  L=New York  C=US" "O=PartyB  L=New York  C=US"]}
Wed  12 May 2021 12:27:19 GMT, http://localhost:8080/create-iou, post, 406, {"iouValue":"˪⤟🞖🆋∁⡑⟞🗎㇢🏲⿈㇊⩗⋤╟𝆙⮲⾔㍜⾹🝜☝㊓🔒☊𝌹࿅🅻" "partyName":"O=PartyA L=London C=GB"}, http://localhost:8080/create-iou?iouValue=˪⤟🞖🆋∁⡑⟞🗎㇢🏲⿈㇊⩗⋤╟𝆙⮲⾔㍜⾹🝜☝㊓🔒☊𝌹࿅🅻&partyName=O=PartyA L=London C=GB, ""
Wed  12 May 2021 12:27:19 GMT, http://localhost:8080/create-iou, post, 406, {"iouValue":"MJsQwuw1H8gGnzmA7SXvSSQ4RrMOsdT7GnWhFbFD7u19hfnGhEtxENWRwaln0tiZPIufxdPoVNWUF8TYyBDR7MAKQrDRyapbzCtqOQORRFSWvRae0M6chFGX1U8XQUo0FCW80W4q8GZvNKXGBG2yFt3UHDr0eKjA8UTzxHETL" "partyName":"O=PartyA L=London C=GB"}, http://localhost:8080/create-iou?iouValue=MJsQwuw1H8gGnzmA7SXvSSQ4RrMOsdT7GnWhFbFD7u19hfnGhEtxENWRwaln0tiZPIufxdPoVNWUF8TYyBDR7MAKQrDRyapbzCtqOQORRFSWvRae0M6chFGX1U8XQUo0FCW80W4q8GZvNKXGBG2yFt3UHDr0eKjA8UTzxHETL&partyName=O=PartyA L=London C=GB, ""
